"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R32,R30,R34,R33,R31";"Vertical Resistor";5;"1k";;;
2;"J11";"SolderWire-0.75sqmm_1x01_D1.25mm_OD2.3mm";1;"FL";;;
3;"Q15,Q16,Q18,Q17";"TO-220-3_Vertical";4;"DN2540N5-G";;;
4;"J15";"SolderWire-0.5sqmm_1x04_P4.6mm_D0.9mm_OD2.1mm";1;"+RADIO";;;
5;"Q7,Q4,Q2,Q14,Q1,Q19,Q5,Q3,Q8,Q9,Q11,Q6,Q13,Q10,Q12";"TO-18-3";15;"BC107";;;
6;"R14,R4,R7,R8,R10,R12,R5,R38,R11,R3,R9,R6,R13,R2,R1";"Vertical Resistor";15;"500k";;;
7;"R23,R24,R27,R22,R21,R28,R17,R25,R20,R19,R15,R18,R16,R26";"Vertical Resistor";14;"330";;;
8;"J6,J4";"PinSocket_1x02_P2.54mm_Vertical";2;"5V Bridge";;;
9;"R29";"Vertical Resistor";1;"3k";;;
10;"C3,C2,C1";"C_Disc_D3.0mm_W1.6mm_P2.50mm";3;"0.1uF";;;
11;"J2";"SolderWire-1sqmm_1x02_P5.4mm_D1.4mm_OD2.7mm";1;"Speaker Toggle";;;
12;",,,,,";"";6;"";;;
13;"R36,R37,R35";"Vertical Resistor";3;"100k";;;
14;"C4";"CP_Radial_D5.0mm_P2.00mm";1;"0.33uF";;;
15;"U2";"TO-220-3_Vertical";1;"L7805";;;
16;"U1";"DIP-28_W7.62mm";1;"ATmega328P-P";;;
17;"J23,J21,J22,J24";"SolderWire-0.75sqmm_1x01_D1.25mm_OD2.3mm";4;"Conn_01x01_Pin";;;
18;"C6,C5";"CP_Radial_D6.3mm_P2.50mm";2;"47uF";;;
19;"J20";"PinSocket_1x03_P2.54mm_Vertical";1;"Pot Voltage Adjust";;;
20;"D1,D2";"LED_D3.0mm";2;"LED";;;
21;"J8";"SolderWire-0.5sqmm_1x04_P4.6mm_D0.9mm_OD2.1mm";1;"AUX Cord";;;
22;"J13";"SolderWire-0.75sqmm_1x01_D1.25mm_OD2.3mm";1;"FR";;;
23;"J5,J7";"PinSocket_1x04_P2.54mm_Vertical";2;"Audio Control Bridge";;;
24;"J18";"PinSocket_1x05_P2.54mm_Vertical";1;"GPS";;;
25;"J14";"SolderWire-0.75sqmm_1x01_D1.25mm_OD2.3mm";1;"RR";;;
26;"J1";"SolderWire-1sqmm_1x02_P5.4mm_D1.4mm_OD2.7mm";1;"12V Power";;;
27;"Y1";"Crystal_HC18-U_Vertical";1;"16MHz";;;
28;"J3";"SolderWire-1sqmm_1x02_P5.4mm_D1.4mm_OD2.7mm";1;"Arduino Toggle";;;
29;"J12";"SolderWire-0.75sqmm_1x01_D1.25mm_OD2.3mm";1;"RL";;;
30;"J16";"SolderWire-0.5sqmm_1x04_P4.6mm_D0.9mm_OD2.1mm";1;"-RADIO";;;
31;"J9";"PinHeader_2x06_P2.54mm_Vertical";1;"Left Speakers";;;
32;"SW3,SW1,SW2";"pushbutton";3;"~";;;
33;"J10";"PinHeader_2x06_P2.54mm_Vertical";1;"Right Speakers";;;
34;"D3";"Kingbright 3 Digit Common Cathode";1;"~";;;
35;"J17";"PinSocket_1x05_P2.54mm_Vertical";1;"Uno Control";;;
36;"J19";"PinHeader_1x02_P2.54mm_Vertical";1;"GPS Toggle";;;
